"FORMULARIO";"C_001_01";"C_001_02";"C_001_03";"C_001_04";"C_001_05";"C_001_06";"C_001_07";"C_001_08";"C_001_09";"C_001_10";"C_001_11";"C_001_12";"C_001_13";"C_001_77";"C_001_77_A";"C_001_77_B";"C_001_77_C";"C_001_PLACA";"C_001_88";"F_EXP"
"0370";1;1;0;0;0;0;0;0;0;0;0;2;0;0;"0";"0";"0";2;0;26,44
"0372";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;25,17
"0373";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;23,69
"0378";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;28,81
"0379";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;12,61
"0381";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;58,67
"0383";0;0;0;0;0;0;0;0;0;0;1;0;0;0;"0";"0";"0";0;0;54,67
"0384";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;55,49
"0385";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;43,65
"0386";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;50,87
"0387";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;48,90
"0388";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;64,59
"0389";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;45,61
"0390";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;59,00
"0391";0;0;0;0;0;0;0;0;0;0;0;2;0;0;"0";"0";"0";0;0;37,97
"0394";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;26,22
"0395";0;0;0;3;0;0;0;0;0;0;1;0;0;;;;;3;0;21,66
"0397";1;0;0;1;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";2;0;122,13
"0398";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;25,71
"0399";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;17,10
"0401";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;45,95
"0402";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;10,11
"0403";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;31,85
"0405";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;46,33
"0407";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;53,54
"0408";1;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;59,74
"0409";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";0;0;72,92
"0410";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;46,36
"0414";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;8,13
"0415";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;8,13
"0416";1;0;0;1;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";2;0;15,65
"0418";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;49,58
"0419";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;21,72
"0421";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;28,87
"0423";0;0;0;2;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;36,81
"0426";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;78,39
"0427";2;1;0;0;0;0;0;0;0;3;0;0;0;;;;;3;0;124,93
"0429";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;23,36
"0430";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;17,31
"0431";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;7,47
"0435";0;1;0;0;0;0;0;0;0;0;2;0;0;0;"0";"0";"0";1;0;29,72
"0437";0;1;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;19,16
"0438";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;32,96
"0439";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;32,96
"0440";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;30,79
"0441";1;0;0;2;0;0;0;0;0;;1;0;0;;;;;3;0;17,23
"0442";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;86,28
"0443";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;15,50
"0444";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;92,26
"0445";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;48,72
"0447";0;0;0;0;0;0;0;0;0;0;1;0;0;0;"0";"0";"0";0;0;31,39
"0448";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;31,39
"0450";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;124,73
"0451";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;16,37
"0452";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;101,78
"0455";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;34,95
"0459";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;43,88
"0461";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;47,35
