FORMULARIO;ID_000;ID_003;ID_004;ID_005;ID_006;ID_008_HH;ID_008_MM;ID_008_A;A_003;A_004;A_005;A_006;A_007;A_008;Municipio;Comuna;Estrato;F_EXP
3463;6744;153;3;01-17-1386;23/8/2017 0:00:00;5;15;p. m.;1;1;1;1;3;3;Pereira;El Poblado;1;26,34
3464;9147;610;2;03-23-0129;25/8/2017 0:00:00;11;20;a. m.;1;2;3;1;3;3;La Virginia;La Virginia;3;39,34
3465;6744;153;4;01-17-1355;23/8/2017 0:00:00;5;30;p. m.;1;3;1;1;4;4;Pereira;El Poblado;1;19,90
3467;9147;672;2;02-27-1524;29/8/2017 0:00:00;12;20;p. m.;1;3;2;1;5;5;Dosquebradas;Dosquebradas 4;2;173,43
3468;9575;672;1;02-27-1432;29/8/2017 0:00:00;9;53;a. m.;1;3;2;1;3;3;Dosquebradas;Dosquebradas 4;2;532,23
3469;9147;672;3;02-27-1527;29/8/2017 0:00:00;10;32;a. m.;1;1;2;1;4;4;Dosquebradas;Dosquebradas 4;2;28,24
3470;9575;66;3;01-08-3151;18/8/2017 0:00:00;3;36;p. m.;1;3;1;1;4;4;Pereira;Oriente;1;13,98
3471;9147;672;3;02-27-1527;29/8/2017 0:00:00;1;30;p. m.;1;3;2;1;4;4;Dosquebradas;Dosquebradas 4;2;28,24
3472;9147;518;1;01-32-13696;30/8/2017 0:00:00;10;33;a. m.;1;1;1;1;5;5;Pereira;Rural 2;1;43,74
3473;9147;518;1;01-32-13696;30/8/2017 0:00:00;12;2;p. m.;1;1;1;1;5;5;Pereira;Rural 2;1;88,05
3474;9575;518;1;01-32-13696;30/8/2017 0:00:00;1;6;p. m.;1;3;1;1;4;3;Pereira;Rural 2;1;69,65
3475;6744;505;1;01-31-0451;1/9/2017 0:00:00;3;0;p. m.;1;1;1;2;4;4;Pereira;Rural 1;1;25,88
3477;9147;672;2;02-27-1524;29/8/2017 0:00:00;9;43;a. m.;1;2;2;1;2;2;Dosquebradas;Dosquebradas 4;2;266,50
3478;9575;672;2;02-27-1524;29/8/2017 0:00:00;10;31;a. m.;1;3;2;1;1;1;Dosquebradas;Dosquebradas 4;2;307,54
3479;9575;672;3;02-27-1527;29/8/2017 0:00:00;12;10;p. m.;1;1;2;1;5;5;Dosquebradas;Dosquebradas 4;2;27,72
3480;9575;672;3;02-27-1527;29/8/2017 0:00:00;1;8;p. m.;1;1;2;1;2;2;Dosquebradas;Dosquebradas 4;2;29,31
3481;9147;518;1;01-32-13696;30/8/2017 0:00:00;11;25;a. m.;1;1;1;1;4;4;Pereira;Rural 2;1;43,74
3482;9147;518;1;01-32-13696;30/8/2017 0:00:00;12;6;p. m.;1;1;1;1;8;7;Pereira;Rural 2;1;52,00
3483;6744;519;1;01-32-11729;31/8/2017 0:00:00;10;25;a. m.;1;3;2;1;5;4;Pereira;Rural 2;2;58,48
3484;6744;519;1;01-32-11729;31/8/2017 0:00:00;11;54;a. m.;1;3;2;4;4;4;Pereira;Rural 2;2;43,74
3485;6744;505;1;01-31-0451;1/9/2017 0:00:00;2;38;p. m.;1;1;1;1;5;5;Pereira;Rural 1;1;21,28
3487;NA;668;1;02-27-1480;29/8/2017 0:00:00;11;0;a. m.;1;1;1;1;3;2;Dosquebradas;Dosquebradas 4;1;418,95
3488;9147;668;1;02-27-1480;29/8/2017 0:00:00;11;30;a. m.;1;3;1;1;2;2;Dosquebradas;Dosquebradas 4;1;80,00
3489;NA;669;3;02-27-1400;29/8/2017 0:00:00;1;0;p. m.;1;3;2;1;2;2;Dosquebradas;Dosquebradas 4;2;256,41
3490;NA;670;1;02-27-1451;29/8/2017 0:00:00;1;30;p. m.;1;1;2;1;4;4;Dosquebradas;Dosquebradas 4;2;146,35
3491;9575;669;2;02-27-1483;29/8/2017 0:00:00;1;30;p. m.;1;1;2;1;6;6;Dosquebradas;Dosquebradas 4;2;253,96
3492;NA;517;1;01-32-14029;30/8/2017 0:00:00;12;0;p. m.;1;1;1;1;3;3;Pereira;Rural 2;1;116,85
3493;9147;517;1;01-32-14029;30/8/2017 0:00:00;1;0;p. m.;1;1;1;1;6;6;Pereira;Rural 2;1;70,03
3494;9147;517;1;01-32-14029;30/8/2017 0:00:00;1;30;p. m.;1;3;1;1;2;2;Pereira;Rural 2;1;138,84
3495;NA;517;1;01-32-14029;30/8/2017 0:00:00;2;30;p. m.;1;3;1;1;3;3;Pereira;Rural 2;1;117,16
3496;9575;700;1;03-23-0234;25/8/2017 0:00:00;11;55;a. m.;1;1;2;1;3;3;La Virginia;La Virginia;2;37,52
3497;9575;700;4;03-23-0235;25/8/2017 0:00:00;1;10;p. m.;1;1;2;1;4;4;La Virginia;La Virginia;2;44,33
3498;NA;700;5;03-23-0232;25/8/2017 0:00:00;1;33;p. m.;1;1;2;1;3;3;La Virginia;La Virginia;2;36,61
3499;NA;701;3;03-23-0300;25/8/2017 0:00:00;10;0;a. m.;1;1;3;1;2;2;La Virginia;La Virginia;3;169,29
3500;9147;701;3;03-23-0300;25/8/2017 0:00:00;10;45;a. m.;1;1;2;1;4;4;La Virginia;La Virginia;2;154,69
3501;3501;701;5;03-23-0301;25/8/2017 0:00:00;11;25;a. m.;1;1;2;1;2;2;La Virginia;La Virginia;2;180,96
3502;9575;701;5;03-23-0301;25/8/2017 0:00:00;11;50;a. m.;1;1;2;1;4;4;La Virginia;La Virginia;2;164,01
3503;9575;701;4;03-23-0309;25/8/2017 0:00:00;1;30;p. m.;1;1;2;1;4;3;La Virginia;La Virginia;2;241,71
3504;9147;610;4;03-23-0121;25/8/2017 0:00:00;12;37;p. m.;1;3;2;2;5;5;La Virginia;La Virginia;2;78,31
