"FORMULARIO";"C_002";"C_003";"C_004";"C_005";"C_006";"C_007";"C_008";"C_009";"F_EXP"
"0840";1;4;1;"66001";2016;1;1;0,00;20,27
"0844";1;1;1;"05266";2013;1;1;0,00;250,41
"0847";1;1;1;"66001";2007;1;1;0,00;147,51
"0848";1;1;1;"25307";2002;1;4;0,00;61,38
"0848";2;4;1;"66001";2017;1;1;0,00;61,38
"0849";1;1;1;"66001";2013;1;1;0,00;23,48
"0849";2;1;1;"66001";2013;1;1;0,00;23,48
"0849";3;1;1;"66001";2012;1;1;0,00;23,48
"0850";1;2;1;"17001";1979;1;2;80000,00;11,30
"0852";1;1;1;"11001";2012;1;1;0,00;10,24
"0854";1;4;1;"66001";9999;1;1;0,00;24,10
"0857";1;1;1;"66001";2013;1;1;0,00;38,36
"0858";1;1;1;"11001";2012;1;1;0,00;100,75
"0858";2;4;1;"66001";2012;1;1;0,00;100,75
"0860";1;2;1;"66001";2008;1;1;0,00;30,33
"0860";2;4;1;"66170";2015;1;1;0,00;30,33
"0864";1;1;1;"66001";9999;1;1;0,00;25,39
"0864";2;4;1;"66001";9999;1;1;0,00;25,39
"0866";1;1;1;"11001";2012;1;2;0,00;12,89
"0869";1;1;1;"76001";2017;1;2;0,00;19,47
"0869";2;4;1;"66001";2016;1;2;0,00;19,47
"0870";1;4;1;"66001";2010;1;1;0,00;46,28
"0871";1;1;1;"17001";2006;1;4;0,00;49,21
"0871";2;4;1;"76275";2004;1;4;0,00;49,21
"0874";1;4;1;"76147";2012;1;2;0,00;19,47
"0876";1;1;1;"11001";2011;1;2;0,00;37,77
"0878";1;1;1;"66001";2009;1;2;0,00;9,28
"0880";1;1;1;"66400";2015;1;2;0,00;6,18
"0881";1;1;1;"11001";1992;1;2;0,00;29,80
"0887";1;4;1;"66001";2016;1;1;0,00;14,06
"0889";1;4;1;"66001";2009;1;1;0,00;6,40
"0890";1;1;1;"66001";2013;1;1;0,00;10,83
"0894";1;4;4;"66001";2015;1;4;32000,00;29,57
"0895";1;4;1;"66170";2011;1;1;0,00;13,78
"0897";1;4;1;"76147";2014;1;1;0,00;24,94
"0898";1;1;1;"66170";9999;2;1;0,00;27,15
"0898";2;4;2;"66001";2008;1;1;0,00;27,15
"0901";1;1;1;"05266";2012;1;1;0,00;19,11
"0901";2;2;1;"13001";2012;1;1;0,00;19,11
"0905";1;1;1;"66001";9999;1;1;0,00;31,33
"0907";1;1;1;"66001";2009;1;1;0,00;59,88
"0908";1;1;1;"05615";9999;1;1;0,00;35,75
"0909";1;1;1;"66001";2013;1;1;0,00;26,02
"0909";2;4;1;"66001";2003;1;1;0,00;26,02
"0909";3;6;2;"17614";9999;1;2;80000,00;26,02
"0910";1;1;1;"17001";2012;1;1;0,00;29,89
"0912";1;1;1;"66001";2011;1;1;0,00;28,98
"0913";1;1;1;"11001";2008;1;2;60000,00;53,86
"0913";2;1;1;"66170";2016;1;2;60000,00;53,86
"0918";1;1;1;"66001";9999;1;1;0,00;323,66
"0920";1;1;1;"25175";2012;1;2;0,00;14,84
"0920";2;1;1;"25175";2003;1;2;0,00;14,84
"0928";1;1;1;"17001";2016;1;4;0,00;12,59
"0935";1;1;1;"76001";2014;1;2;0,00;18,21
