"FORMULARIO";"INGRESOS";"F_EXP"
"1183";2;17,57
"1185";3;54,95
"1186";2;105,94
"1187";2;30,07
"1189";1;14,38
"1190";2;30,07
"1191";3;26,44
"1192";4;15,91
"1193";10;43,74
"1194";1;6,21
"1196";2;20,76
"1197";1;20,76
"1199";2;16,50
"1201";2;26,70
"1202";2;16,93
"1203";2;33,08
"1204";1;19,27
"1205";2;17,73
"1206";5;13,82
"1207";2;13,21
"1208";2;18,21
"1209";1;5,40
"1210";2;24,41
"1211";1;16,14
"1212";2;26,50
"1213";2;41,33
"1216";2;25,90
"1217";4;28,27
"1218";10;28,27
"1219";4;75,24
"1220";3;75,24
"1221";10;64,53
"1222";3;85,95
"1225";4;96,66
"1226";2;64,53
"1228";3;177,00
"1229";2;80,59
"1230";1;30,56
"1231";2;54,68
"1232";1;15,89
"1233";1;161,53
"1235";1;35,47
"1236";1;18,24
"1237";2;42,90
"1238";4;31,19
"1239";3;28,84
"1240";3;32,32
"1242";2;40,39
"1244";2;53,08
"1245";2;46,87
"1246";10;26,87
"1249";10;27,12
"1250";10;27,12
"1256";2;86,95
"1257";2;12,41
"1258";1;12,41
"1259";1;17,22
"1262";3;51,55
"1263";10;36,98
"1264";2;41,30
"1265";10;72,84
"1266";2;19,08
"1268";10;17,74
"1269";10;92,75
"1270";10;19,08
"1271";5;19,08
"1272";2;52,76
"1273";1;52,76
"1274";10;51,00
"1275";2;65,08
"1276";10;51,10
"1277";9;150,00
"1279";1;133,32
"1280";10;62,38
"1281";3;40,01
"1282";2;84,02
"1283";2;36,34
"1284";1;34,06
"1285";2;50,41
"1286";1;117,89
"1287";1;93,86
"1288";2;38,30
"1289";2;99,49
"1291";2;33,17
"1292";1;65,88
"1293";2;82,43
"1294";2;3,49
"1297";2;64,12
"1298";2;25,66
"1299";10;60,13
"1300";2;27,20
"1301";2;34,73
"1302";1;41,24
"1303";1;20,02
"1304";10;12,08
"1305";1;13,65
"1306";1;29,27
"1307";2;402,85
"1308";1;85,31
"1309";1;17,63
"1310";1;25,23
"1311";1;94,21
"1312";5;33,15
"1313";1;31,23
"1315";2;82,71
"1316";2;82,71
"1317";10;84,19
"1318";1;40,39
"1320";5;21,78
"1321";2;51,42
"1322";2;31,19
"1323";2;104,05
"1325";4;279,88
"1326";2;279,88
"1327";3;314,00
"1328";3;279,88
"1329";3;33,17
"1330";1;46,94
"1331";1;27,36
"1332";2;19,16
"1333";2;47,88
