"FORMULARIO";"B_001";"D_003";"D_004";"D_005";"D_006";"D_006_A";"ZAT_O";"D_007";"D_008";"D_009_HH";"D_009_MM";"D_009_A";"D_010_NO";"D_010L";"D_010M";"D_010Mc";"D_010J";"D_010V";"D_010S";"D_010D";"D_010_Ocasional";"D_011A";"D_011B";"D_011C";"D_012";"F_EXP"
"0042";1;;;3/5/2017 0:00:00;1;;;;;6;15;"A.M.";0;0;0;0;0;0;0;0;1;2;3;2;"ESCUELA,ASMET SALUD, HOGAR,PAPELERIA,HOGAR";16,59
"0042";2;;;3/5/2017 0:00:00;1;;;;;6;15;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"ESCUELA ,HOGAR";16,59
"0042";3;;;3/5/2017 0:00:00;1;;;;;6;15;"A.M.";0;1;1;1;1;1;1;0;0;2;1;2;"TRABAJO,HOGAR";16,59
"0043";1;;;4/5/2017 0:00:00;1;;;;;4;0;"P.M.";0;0;0;0;0;0;0;0;1;7;7;7;"BILLAR,HOGAR,TERMINAL,HOGAR";71,65
"0043";2;;;4/5/2017 0:00:00;1;;;;;9;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TIENDA,HOGAR,TRABAJAR,HOGAR";71,65
"0043";3;;;4/5/2017 0:00:00;1;;;;;3;30;"P.M.";1;0;0;0;0;0;0;0;0;8;8;8;"PELUQUERA,TIENDA,HOGAR";71,65
"0043";4;;;4/5/2017 0:00:00;1;;;;;7;30;"A.M.";1;0;0;0;0;0;0;0;0;2;1;2;"TIENDA HOGAR,TRABAJO,HOGAR,TRABAJO,HOGAR,CINE,HOGAR";71,65
"0046";2;;;6/5/2017 0:00:00;1;;;;;6;0;"A.M.";0;0;0;0;0;0;1;0;0;2;1;2;"TRABAJO,CASA";174,87
"0046";3;;;6/5/2017 0:00:00;1;;;;;5;35;"A.M.";1;0;0;0;0;0;0;0;0;1;2;1;"TRABAJO,CASA";174,87
"0047";1;;;9/5/2017 0:00:00;1;;;;;7;30;"A.M.";0;1;1;1;1;1;0;0;0;2;1;2;;17,22
"0047";2;;;9/5/2017 0:00:00;1;;;;;5;45;"A.M.";0;1;1;1;1;1;1;0;0;1;1;2;"TRABAJO,CASA,UNIVESIDAD,CASA";17,22
"0048";2;;;4/5/2017 0:00:00;1;;;;;10;0;"A.M.";0;0;0;0;0;0;0;0;1;2;2;2;"PARQUE EL LAGO,HOGAR";58,71
"0048";3;;;4/5/2017 0:00:00;1;;;;;10;0;"A.M.";0;0;0;0;0;0;0;0;1;2;2;2;"PARQUE EL LAGO,HOGAR";58,71
"0049";1;;;4/5/2017 0:00:00;1;;;"los constructores";"66001";5;0;"A.M.";0;1;1;1;1;1;1;0;0;2;2;2;"TRABAJO,CASA";24,06
"0049";2;;;4/5/2017 0:00:00;1;;;"LOS CONSTRUCTORES";"66001";5;0;"A.M.";0;0;0;0;0;0;0;0;1;1;2;2;"TRABAJO,CASA";24,06
"0049";4;;;4/5/2017 0:00:00;1;;;;;12;0;"P.M.";0;1;1;1;1;1;1;0;0;2;2;2;"COLEGIO, CASA";24,06
"0049";5;;;4/5/2017 0:00:00;1;;;;;12;0;"P.M.";0;1;1;1;1;1;0;0;0;2;2;2;"COLEGIO,CASA";24,06
"0049";6;;;4/5/2017 0:00:00;1;;;;;12;0;"P.M.";0;1;1;1;1;1;0;0;0;2;2;2;"COLEGIO,CASA";24,06
"0051";1;;;5/5/2017 0:00:00;1;;;;;7;0;"A.M.";0;1;1;1;1;1;1;1;0;1;2;2;"TRABAJO,CASA,TRABAJO,CASA";29,76
"0053";1;;;5/5/2017 0:00:00;1;;;"LOS CONSTRUCTORES";"66001";6;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TRABAJO,CASA";58,71
"0054";1;;;5/5/2017 0:00:00;1;;;"LOS GETSEMANI";"66001";4;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"CENTRO ÉXITO, CASA";51,97
"0056";1;;;5/5/2017 0:00:00;1;;;"CONSTRUTORES";"66001";4;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"VILLA VERDE,HOGAR";62,68
"0056";2;;;5/5/2017 0:00:00;1;;;"BARRIO CONSTRUCTORES";"66001";4;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"VILLA VERDE HOGAR";62,68
"0057";1;;;5/5/2017 0:00:00;2;;;"CRA 9 CLL 29- LA GALERIA";"66001";4;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TRABJO,ESTUDIAR,HOGAR NOVIA";49,11
"0057";2;;;5/5/2017 0:00:00;1;;;"CRA 5 41 B 17";"66001";5;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TRABAJO HOGAR";49,11
"0058";1;;;6/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;1;"TRABAJO,HOGAR";33,13
"0058";2;;;6/5/2017 0:00:00;1;;;;;2;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"CLINICA,HOGAR";33,13
"0058";3;;;6/5/2017 0:00:00;1;;;;;2;0;"P.M.";1;0;0;0;0;0;0;0;0;2;8;2;"CLINICA,HOGAR";33,13
"0058";4;;;6/5/2017 0:00:00;1;;;;;6;20;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"ESTUDIO,HOGAR";33,13
"0059";1;;;6/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;7;"jardin,hogar,tienda,hogar,jardin,hogar";143,18
"0059";2;;;6/5/2017 0:00:00;1;;;;;5;40;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"trabajo,hogar";143,18
"0059";3;;;6/5/2017 0:00:00;2;"b/las palmas";;"cerca al apostar av. Del rio entre calles 37 y 38";"66001";9;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"casa de adulto,hogar";143,18
"0059";4;;;6/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"jardin,hogar";143,18
"0060";1;;;6/5/2017 0:00:00;1;;;;;9;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"POBLADO 2, HOGAR";25,18
"0060";2;;;6/5/2017 0:00:00;1;;;;;2;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"PLAZA BOLIVAR,HOGAR";25,18
"0060";3;;;6/5/2017 0:00:00;1;;;;;2;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"LAGO,HOGAR";25,18
"0061";1;;;5/5/2017 0:00:00;1;;;;;7;30;"A.M.";0;0;0;0;0;0;0;0;1;9;2;2;"TRABAJO,CASA";308,09
"0061";2;;;5/5/2017 0:00:00;1;;;;;8;30;"A.M.";0;0;0;0;0;0;0;0;1;9;2;2;"TRABAJO,CASA";308,09
"0061";4;;;5/5/2017 0:00:00;1;;;;;12;10;"P.M.";1;0;0;0;0;0;0;0;0;2;2;10;"COLEGIO,CASA";308,09
"0061";5;;;5/5/2017 0:00:00;1;;;;;6;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;10;"COLEGIO,CASA";308,09
"0063";1;;;6/5/2017 0:00:00;1;;;;;3;30;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"supermercado,casa";300,52
"0063";3;;;6/5/2017 0:00:00;1;;;;;9;45;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"trabajo, casa";300,52
"0063";4;;;9/5/2017 0:00:00;1;;;;;6;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"estudiar,casa";300,52
"0065";1;;;7/6/2017 0:00:00;1;;;;;5;55;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"coomeva,casa";247,16
"0065";2;;;7/6/2017 0:00:00;1;;;;;10;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"centro,casa";247,16
"0065";3;;;7/6/2017 0:00:00;1;;;;;6;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"trabajar,casa";247,16
"0065";4;;;7/6/2017 0:00:00;1;;;;;6;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"trabajar,casa";247,16
"0067";1;;;6/5/2017 0:00:00;1;;;"CRA BIS # 38 B 30";"66001";9;0;"A.M.";0;0;0;0;0;0;0;0;1;10;10;2;"TRABAJO,CASA";70,56
"0067";3;;;6/5/2017 0:00:00;1;;;"CRA BIS # 38 B 30";"66001";7;0;"A.M.";1;0;0;0;0;0;0;0;0;10;10;2;"TRABAJO,CASA";70,56
"0068";1;;;6/5/2017 0:00:00;1;;;;;12;0;"P.M.";0;0;0;0;0;0;0;0;1;10;2;2;"banco popular centro,hogar";255,18
"0068";2;;;6/5/2017 0:00:00;1;;;;;4;45;"P.M.";1;0;0;0;0;0;0;0;0;10;2;2;"iglesiaa vicentinas,hogar";255,18
"0069";1;;;10/5/2017 0:00:00;1;;;;;10;0;"A.M.";0;1;1;1;1;1;1;0;0;2;1;2;"SUPERMERCADO,HOGAR,TRAMITEPERSONAL,HOGAR,SUPERMERCADOAPAGARFACTURA,HOGAR";70,56
"0069";3;;;10/5/2017 0:00:00;1;;;;;9;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TRAMITEPERSONALNOTARIA,VOLVERACASA";70,56
"0069";4;;;6/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;10;2;"MEDICO,HOGAR";70,56
"0071";2;;;3/5/2017 0:00:00;1;;;;;2;0;"P.M.";0;1;1;1;1;1;1;1;0;1;2;2;"MUNDO NUEVO,HOGAR";86,69
"0073";1;;;4/5/2017 0:00:00;1;;;;;9;0;"A.M.";0;1;1;1;1;1;0;0;0;2;2;2;"CARNICERIA,CASA";16,16
"0074";1;;;3/5/2017 0:00:00;1;;;;;12;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"COLEGIO,CASA,GUARDERIA,CASA";111,29
"0074";2;;;3/5/2017 0:00:00;1;;;;;8;0;"A.M.";0;1;1;1;1;1;1;0;0;2;2;1;"TRABAJO,CASA";111,29
"0074";3;;;3/5/2017 0:00:00;1;;;;;1;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"CASA,COLEGIO";111,29
"0075";1;;;4/5/2017 0:00:00;1;;;;;9;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"LIGA CONTRA EL CACER,COMPRA, CASA";17,50
"0075";2;;;5/5/2017 0:00:00;1;;;;;9;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"LIGA CONTRA EL CACER,COMPRA, CASA";17,50
"0076";1;;;4/5/2017 0:00:00;1;;;;;2;0;"p.m.";0;0;0;0;0;0;0;0;1;1;7;2;"POBLADO,CASA";114,22
"0076";2;;;4/5/2017 0:00:00;1;;;;;2;0;"p.m.";0;0;0;0;0;0;0;0;1;1;7;2;"POBLADO,CASA";114,22
"0080";2;;;9/5/2017 0:00:00;1;;;;;10;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;10;"TRABAJO,HOGAR";29,76
"0083";1;;;4/5/2017 0:00:00;1;;;;;6;50;"A.M.";0;1;1;1;1;1;1;1;0;1;2;2;"LLEVAR LA NIÑA AL COLEGIO,IR AL GIMNASIO,VOLVER A CASA,VISITARA UNA EMPRESA, VOLVER ALA CASA A ALMOZAR,VISITAR UNA EMPRESA,REGRESAR AL HOGAR";230,23
"0083";2;;;4/5/2017 0:00:00;1;;;;;6;50;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"IR A ESTUDIAR,ALMOZAR,ENTRENARVOLEIBOL,REGRESAR A CASA";230,23
"0084";1;;;4/5/2017 0:00:00;1;;;;;5;45;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"IR LA CLINICA,HOGAR,HOSPITAL,IGLESIA,HOGAR";26,20
"0084";2;;;4/5/2017 0:00:00;1;;;;;9;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;;26,20
"0085";1;;;4/5/2017 0:00:00;1;;;;;6;40;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"LLEVAR LOS NIÑOS AL COLEGIO,REGRESARA CASA,IR A TRABAJAR,REGRESARAL HOGAR";90,74
"0085";2;;;4/5/2017 0:00:00;1;;;;;11;45;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"RECOGER LOS NIÑOS DEL COLEGIO,REGRESAR AL HOGAR";90,74
"0085";3;;;4/5/2017 0:00:00;1;;;;;6;40;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"IR A ESTUDIAR,REGRESAR AL HOGAR";90,74
"0088";1;;;6/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"HACER YOGA,IR ALA OPTICA,HOGAR";151,07
"0088";2;;;6/5/2017 0:00:00;1;;;;;7;0;"A.M.";0;0;0;0;0;0;1;1;0;5;2;2;"TRABAJO,HOGAR,TRABAJO,HOGAR";151,07
"0088";3;;;6/5/2017 0:00:00;1;;;;;5;0;"P.M.";0;1;0;1;1;1;1;1;0;1;2;2;"IR DE PASEO, HOGAR";151,07
"0088";4;;;6/5/2017 0:00:00;1;;;;;9;0;"A.M.";0;0;0;0;0;0;0;0;1;10;10;2;"VUELTAS PERSONALES,HOGAR,TRAMITES,PARQUE ARBOLEDA,HOGAR";151,07
"0089";1;;;6/5/2017 0:00:00;1;;;;;6;30;"A.M.";0;1;1;0;1;1;1;0;0;1;2;2;"TRABAJO,HOGAR";452,67
"0089";2;;;6/5/2017 0:00:00;1;;;;;9;0;"A.M.";0;0;0;0;0;0;0;0;1;2;2;2;"TRABAJO,HOGAR,TRABAJO,HOGAR";452,67
"0090";3;;;10/5/2017 0:00:00;1;;;;;4;0;"P.M.";1;0;0;0;0;0;0;0;0;2;1;2;"COMPRAS,HOGAR";77,01
"0091";1;;;3/5/2017 0:00:00;1;;;;;11;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;10;"MEDICO,CASA";104,20
"0092";4;;;3/5/2017 0:00:00;1;;;;;9;50;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"ESTUDIO,CASA";83,27
"0094";1;;;4/5/2017 0:00:00;1;;;;;11;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"HACER VISITA FAMILIAR,CASA";21,42
